population,start,stop,H_start,H_stop,H
P2,488426,768865,0,2.432311,2.432311
P2,768865,1699236,2.432311,5.819275,3.386964
P2,1699236,1865285,5.819275,5.957772,0.138497
P2,1865285,2192374,5.957772,7.004358,1.046586
P2,2192374,2674225,7.004358,8.351195,1.346837
P2,2674225,3167371,8.351195,9.499981,1.148786
P2,3167371,3779036,9.499981,10.648854,1.148873
P2,3779036,3917089,10.648854,10.907128,0.258274
P2,3917089,4359800,10.907128,12.493934,1.586806
P2,4359800,4519429,12.493934,12.973072,0.479138
P2,4519429,5506917,12.973072,16.941033,3.967961
P2,5506917,5734744,16.941033,17.765905,0.824872
P2,5734744,6149751,17.765905,18.50478,0.738875
P2,6149751,6884867,18.50478,19.740794,1.236014
P2,6884867,7047756,19.740794,20.697755,0.956961
P2,7047756,7644962,20.697755,23.428332,2.730577
P2,7644962,8350582,23.428332,25.433005,2.004673
P2,8350582,8439006,25.433005,25.715629,0.282624
P2,8439006,8993233,25.715629,28.200401,2.484772
P2,8993233,9001217,28.200401,28.200401,0
P2,9001217,10434922,28.200401,39.277741,11.07734
P2,10434922,11026901,39.277741,42.591909,3.314168
P2,11026901,11139723,42.591909,43.865016,1.273107
P2,11139723,11838780,43.865016,49.060532,5.195516
P2,11838780,12179065,49.060532,51.501395,2.440863
P2,12179065,12686038,51.501395,57.477226,5.975831
P2,12686038,13038240,57.477226,60.869281,3.392055
P2,13038240,13859051,60.869281,64.476672,3.607391
P2,13859051,14001934,64.476672,64.651726,0.175054
P2,14001934,14158183,64.651726,64.820366,0.16864
P2,14158183,14161442,64.820366,64.820367,1E-06
P2,14161442,15605577,64.820367,64.939484,0.119117
P2,15605577,15630635,64.939484,65.073685,0.134201
P2,15630635,16279095,65.073685,67.04992,1.976235
P2,16279095,16645134,67.04992,67.592777,0.542857
P2,16645134,16913975,67.592777,69.435744,1.842967
P2,16913975,17102334,69.435744,70.74522,1.309476
P2,17102334,17720368,70.74522,76.832289,6.087069
P2,17720368,18028852,76.832289,77.81779,0.985501
P2,18028852,18514173,77.81779,80.15364,2.33585
P2,18514173,18800489,80.15364,81.41295,1.25931
P2,18800489,19780232,81.41295,87.177745,5.764795
P2,19780232,20686611,87.177745,89.383128,2.205383
P2,20686611,21059175,89.383128,89.620592,0.237464
P2,21059175,21167712,89.620592,89.969632,0.34904
P2,21167712,21559246,89.969632,90.894108,0.924476
P2,21559246,22743028,90.894108,94.196242,3.302134
P2,22743028,22975205,94.196242,94.805701,0.609459
P2,22975205,23381914,94.805701,96.852092,2.046391
P2,23381914,24114746,96.852092,99.195681,2.343589
P2,24114746,24810967,99.195681,101.657043,2.461362
P2,24810967,25143391,101.657043,102.382422,0.725379
P2,25143391,26099650,102.382422,107.720349,5.337927
P2,26099650,26357422,107.720349,109.32137,1.601021
P2,26357422,26404106,109.32137,109.450592,0.129222
P2,26404106,27230162,109.450592,112.850058,3.399466
P2,27230162,27634939,112.850058,113.969776,1.119718
P2,27634939,27855083,113.969776,114.838524,0.868748
P2,27855083,28132789,114.838524,115.313646,0.475122
P2,28132789,29595658,115.313646,125.349767,10.036121
P2,29595658,30269940,125.349767,127.091649,1.741882
P2,30269940,30393984,127.091649,127.450128,0.358479
P3,32807,488426,0,2.934631,2.934631
P3,488426,1149280,2.934631,6.243036,3.308405
P3,1149280,1390502,6.243036,7.447267,1.204231
P3,1390502,1411467,7.447267,7.447267,0
P3,1411467,1699236,7.447267,8.389624,0.942357
P3,1699236,1865285,8.389624,9.01439,0.624766
P3,1865285,2192374,9.01439,9.581965,0.567575
P3,2192374,2674225,9.581965,11.58949,2.007525
P3,2674225,3167371,11.58949,11.764824,0.175334
P3,3167371,3779036,11.764824,13.208463,1.443639
P3,3779036,3917089,13.208463,13.491687,0.283224
P3,3917089,4200550,13.491687,13.634727,0.14304
P3,4200550,4359800,13.634727,15.097432,1.462705
P3,4359800,4519429,15.097432,15.521274,0.423842
P3,4519429,5734744,15.521274,19.132284,3.61101
P3,5734744,6001538,19.132284,19.909544,0.77726
P3,6001538,6884867,19.909544,22.771574,2.86203
P3,6884867,7047756,22.771574,23.692243,0.920669
P3,7047756,7873293,23.692243,27.117965,3.425722
P3,7873293,8350582,27.117965,29.409223,2.291258
P3,8350582,8439006,29.409223,30.201073,0.79185
P3,8439006,8993233,30.201073,31.961739,1.760666
P3,8993233,9001217,31.961739,32.103738,0.141999
P3,9001217,9205325,32.103738,32.653366,0.549628
P3,9205325,9730381,32.653366,33.133149,0.479783
P3,9730381,10434922,33.133149,36.287615,3.154466
P3,10434922,10653718,36.287615,36.793107,0.505492
P3,10653718,10903254,36.793107,37.410729,0.617622
P3,10903254,11139723,37.410729,38.290608,0.879879
P3,11139723,11838780,38.290608,41.755959,3.465351
P3,11838780,12179065,41.755959,43.493373,1.737414
P3,12179065,13207971,43.493373,49.140547,5.647174
P3,13207971,13859051,49.140547,49.933031,0.792484
P3,13859051,14001934,49.933031,50.094026,0.160995
P3,14001934,15630635,50.094026,50.094026,0
P3,15630635,15897174,50.094026,50.382697,0.288671
P3,15897174,16279095,50.382697,51.704372,1.321675
P3,16279095,16645134,51.704372,53.326746,1.622374
P3,16645134,17102334,53.326746,56.090097,2.763351
P3,17102334,17605952,56.090097,58.400561,2.310464
P3,17605952,18300423,58.400561,60.128097,1.727536
P3,18300423,18514173,60.128097,60.675883,0.547786
P3,18514173,19492844,60.675883,62.904675,2.228792
P3,19492844,20686611,62.904675,66.341232,3.436557
P3,20686611,21059175,66.341232,66.612089,0.270857
P3,21059175,21167712,66.612089,66.612089,0
P3,21167712,22200580,66.612089,68.039893,1.427804
P3,22200580,22743028,68.039893,69.032399,0.992506
P3,22743028,22975205,69.032399,70.241846,1.209447
P3,22975205,23130317,70.241846,70.930909,0.689063
P3,23130317,23906908,70.930909,74.303952,3.373043
P3,23906908,24810967,74.303952,78.155841,3.851889
P3,24810967,25143391,78.155841,79.502665,1.346824
P3,25143391,25304145,79.502665,80.034623,0.531958
P3,25304145,25520382,80.034623,81.410756,1.376133
P3,25520382,26099650,81.410756,83.437342,2.026586
P3,26099650,26357422,83.437342,85.081597,1.644255
P3,26357422,27230162,85.081597,89.837364,4.755767
P3,27230162,27634939,89.837364,91.075236,1.237872
P3,27634939,27855083,91.075236,91.473428,0.398192
P3,27855083,28132789,91.473428,91.936854,0.463426
P3,28132789,28172831,91.936854,92.423832,0.486978
P3,28172831,29333952,92.423832,98.337582,5.91375
P3,29333952,29595658,98.337582,100.264748,1.927166
P3,29595658,30269940,100.264748,101.327512,1.062764
P6,32807,768865,0,3.223476,3.223476
P6,768865,1411467,3.223476,4.966883,1.743407
P6,1411467,1699236,4.966883,6.353279,1.386396
P6,1699236,2192374,6.353279,7.885723,1.532444
P6,2192374,3779036,7.885723,12.519971,4.634248
P6,3779036,3917089,12.519971,12.776814,0.256843
P6,3917089,4200550,12.776814,14.031461,1.254647
P6,4200550,4519429,14.031461,15.182896,1.151435
P6,4519429,6001538,15.182896,20.805853,5.622957
P6,6001538,6884867,20.805853,22.930159,2.124306
P6,6884867,7047756,22.930159,23.397735,0.467576
P6,7047756,7873293,23.397735,28.140031,4.742296
P6,7873293,8350582,28.140031,30.827156,2.687125
P6,8350582,8439006,30.827156,30.999058,0.171902
P6,8439006,9205325,30.999058,33.729287,2.730229
P6,9205325,9730381,33.729287,35.17601,1.446723
P6,9730381,10142548,35.17601,36.602363,1.426353
P6,10142548,10653718,36.602363,39.677218,3.074855
P6,10653718,11838780,39.677218,44.905282,5.228064
P6,11838780,12179065,44.905282,46.676685,1.771403
P6,12179065,12686038,46.676685,48.353359,1.676674
P6,12686038,13207971,48.353359,50.572841,2.219482
P6,13207971,14158183,50.572841,52.147096,1.574255
P6,14158183,15605577,52.147096,52.381768,0.234672
P6,15605577,15630635,52.381768,52.381768,0
P6,15630635,16913975,52.381768,55.080026,2.698258
P6,16913975,17102334,55.080026,55.080027,1E-06
P6,17102334,17720368,55.080027,58.063117,2.98309
P6,17720368,18028852,58.063117,59.124064,1.060947
P6,18028852,18300423,59.124064,59.974408,0.850344
P6,18300423,18514173,59.974408,60.461798,0.48739
P6,18514173,19492844,60.461798,63.048478,2.58668
P6,19492844,20260660,63.048478,65.880589,2.832111
P6,20260660,21059175,65.880589,67.804571,1.923982
P6,21059175,21559246,67.804571,69.053831,1.24926
P6,21559246,22743028,69.053831,71.031775,1.977944
P6,22743028,23130317,71.031775,72.192542,1.160767
P6,23130317,23906908,72.192542,75.092246,2.899704
P6,23906908,24114746,75.092246,76.00953,0.917284
P6,24114746,25143391,76.00953,81.053876,5.044346
P6,25143391,25304145,81.053876,81.818397,0.764521
P6,25304145,26099650,81.818397,86.151763,4.333366
P6,26099650,26357422,86.151763,87.511081,1.359318
P6,26357422,27230162,87.511081,91.783542,4.272461
P6,27230162,27634939,91.783542,92.534655,0.751113
P6,27634939,27855083,92.534655,92.784165,0.24951
P6,27855083,28132789,92.784165,93.799731,1.015566
P6,28132789,28172831,93.799731,93.918111,0.11838
P6,28172831,29058956,93.918111,97.879037,3.960926
P6,29058956,29595658,97.879037,100.075134,2.196097
P6,29595658,30065751,100.075134,100.89337,0.818236
P6,30065751,30393984,100.89337,101.56169,0.66832
P7,32807,488426,0,3.700684,3.700684
P7,488426,1149280,3.700684,5.496722,1.796038
P7,1149280,1390502,5.496722,6.129924,0.633202
P7,1390502,1865285,6.129924,8.243439,2.113515
P7,1865285,2674225,8.243439,9.983806,1.740367
P7,2674225,3167371,9.983806,10.648794,0.664988
P7,3167371,4359800,10.648794,15.502795,4.854001
P7,4359800,4519429,15.502795,15.877547,0.374752
P7,4519429,5506917,15.877547,18.956091,3.078544
P7,5506917,5734744,18.956091,19.507455,0.551364
P7,5734744,6001538,19.507455,20.609436,1.101981
P7,6001538,6149751,20.609436,20.95964,0.350204
P7,6149751,6989379,20.95964,22.919074,1.959434
P7,6989379,7644962,22.919074,26.609889,3.690815
P7,7644962,7873293,26.609889,28.736764,2.126875
P7,7873293,8439006,28.736764,31.988652,3.251888
P7,8439006,8993233,31.988652,32.838908,0.850256
P7,8993233,9001217,32.838908,33.006575,0.167667
P7,9001217,9205325,33.006575,33.914364,0.907789
P7,9205325,10142548,33.914364,36.760461,2.846097
P7,10142548,10903254,36.760461,40.272746,3.512285
P7,10903254,11838780,40.272746,46.848724,6.575978
P7,11838780,12179065,46.848724,48.635508,1.786784
P7,12179065,13038240,48.635508,52.678579,4.043071
P7,13038240,13859051,52.678579,54.024766,1.346187
P7,13859051,14158183,54.024766,54.024766,0
P7,14158183,14161442,54.024766,54.024766,0
P7,14161442,15897174,54.024766,54.024766,0
P7,15897174,15985718,54.024766,54.345925,0.321159
P7,15985718,16645134,54.345925,57.660302,3.314377
P7,16645134,16913975,57.660302,59.505195,1.844893
P7,16913975,17102334,59.505195,59.881885,0.37669
P7,17102334,17605952,59.881885,62.253138,2.371253
P7,17605952,18028852,62.253138,63.392643,1.139505
P7,18028852,18300423,63.392643,64.561275,1.168632
P7,18300423,18800489,64.561275,65.631156,1.069881
P7,18800489,19492844,65.631156,67.899208,2.268052
P7,19492844,19780232,67.899208,69.790843,1.891635
P7,19780232,20260660,69.790843,71.4469,1.656057
P7,20260660,20686611,71.4469,72.455709,1.008809
P7,20686611,21167712,72.455709,73.124407,0.668698
P7,21167712,21559246,73.124407,74.468381,1.343974
P7,21559246,22200580,74.468381,75.855076,1.386695
P7,22200580,22975205,75.855076,77.113048,1.257972
P7,22975205,23130317,77.113048,78.920908,1.80786
P7,23130317,23381914,78.920908,81.181383,2.260475
P7,23381914,24114746,81.181383,83.431718,2.250335
P7,24114746,24810967,83.431718,87.468743,4.037025
P7,24810967,25304145,87.468743,89.9099,2.441157
P7,25304145,25520382,89.9099,91.171051,1.261151
P7,25520382,26404106,91.171051,94.911708,3.740657
P7,26404106,27634939,94.911708,100.847493,5.935785
P7,27634939,28132789,100.847493,102.210541,1.363048
P7,28132789,29333952,102.210541,107.727344,5.516803
P7,29333952,30065751,107.727344,110.747259,3.019915
P8,488426,768865,0,0.8969466,0.8969466
P8,768865,1149280,0.8969466,1.8455091,0.9485625
P8,1149280,1411467,1.8455091,2.0799101,0.234401
P8,1411467,1699236,2.0799101,3.208725,1.1288149
P8,1699236,1865285,3.208725,3.511375,0.30265
P8,1865285,2192374,3.511375,4.0249607,0.5135857
P8,2192374,3779036,4.0249607,7.5197704,3.4948097
P8,3779036,3917089,7.5197704,8.213076,0.6933056
P8,3917089,4359800,8.213076,9.6380295,1.4249535
P8,4359800,4519429,9.6380295,10.6458541,1.0078246
P8,4519429,5506917,10.6458541,13.1925244,2.5466703
P8,5506917,5734744,13.1925244,13.779733,0.5872086
P8,5734744,6001538,13.779733,14.6179235,0.8381905
P8,6001538,6989379,14.6179235,17.5337698,2.9158463
P8,6989379,7644962,17.5337698,20.3123287,2.7785589
P8,7644962,7873293,20.3123287,21.4900449,1.1777162
P8,7873293,8350582,21.4900449,24.573582,3.0835371
P8,8350582,8439006,24.573582,24.8314999,0.2579179
P8,8439006,9001217,24.8314999,26.5880683,1.7565684
