start,stop
616100,722646
917063,917132
917201,1155584
1156178,1234525
1239411,1254010
1260520,1290375
1292202,1293833
1298583,1299969
1301737,1315366
1318663,1448157
1466829,1479061
1479179,1515335
1515545,1574452
1575738,1608989
1609669,1634148
1634387,1643671
1645110,1657260
1668087,1678424
1679256,1756297
1839715,2824097
2825660,2835823
2838711,2967625
2970262,2997556
3016045,3039673
3066110,3080724
3378721,3398558
3406795,3872030
3915390,3934274
4000224,4029479
4057690,4080735
4091336,4142841
4158807,4183581
4202677,4236782
4289194,4325725
4347272,4423921
4492059,4492168
4593859,4637162
4643263,4669266
4706121,4878881
4902665,4964647
4984107,4997758
4997817,5039887
5051586,5070409
5087372,5235627
5265095,5435992
5453416,5474532
5484490,5506391
5514934,5526944
5529334,5685146
5690997,5851064
6000861,6036425
6067010,6079880
6080911,6101627
6108980,6114422
6121007,6154269
6160919,6316939
6327586,6342822
6533626,6591971
6702749,6717715
6718481,6728740
6728868,6746009
6746112,6774667
6776518,6780245
6790473,6805159
6818793,6820904
6826470,6902171
6911852,6913323
6973976,6980816
6989055,7029930
7034569,7067903
7073630,7086437
7117765,7198595
7221391,7263608
7284444,7566429
7622270,7672151
7698897,7721428
7770449,7783057
7800494,7815433
7829315,7832379
7845877,7851108
7878799,7885595
7901567,7902909
7911272,7916095
7933364,7940356
7947058,7952425
7970781,7974899
7992633,8112082
8177291,8178657
8322527,8326023
8354150,8363388
8380978,8385096
8415507,8422522
8441745,8446987
8468384,8471900
8489585,8492590
8510397,8521274
8601762,8605881
8624269,8629630
8636304,8643319
8689220,8692736
8710419,8713395
8731238,8742134
8795776,8834573
8904583,8938783
9021066,9145905
9919544,10473291
10473359,10541305
10568099,10721109
10730722,10751170
10759269,10767484
10777554,10792917
10796927,10845616
10847683,10913205
10938284,10982548
10987097,10989868
11005158,11055595
11057140,11062215
11063318,11068623
11077485,11107415
11127988,11128525
11155041,11261281
11262695,11296958
11311950,11311978
11325062,11327515
11334854,11378152
11378595,11394458
11445163,11476913
11518930,11533435
11552513,11557990
11570890,11673279
11687856,11758250
11761498,11780915
11788262,11813527
11841411,11841484
11853224,11853297
11854681,11856475
11856586,11859000
11866765,11866835
11868491,11868563
11869740,11869813
11883253,11934431
11939082,11965509
11966400,11971246
11999097,11999167
12000832,12000904
12002081,12002154
12012044,12040983
12046392,12046464
12048111,12048181
12061099,12293805
12295330,12302412
12306784,12332754
12339556,12374996
12387587,12440279
12525952,12566832
12569924,12605058
12629021,12684826
12693072,12722526
12727582,12760581
12841158,13018701
13076139,13147889
13428571,13699308
13801755,13806871
13951831,14069691
14160424,14180486
14192255,14223624
14225105,14277157
14392935,14531077
14536489,14572384
14572406,14580953
14586807,14594899
14603388,14609611
14614072,14616561
14623533,14632971
14633071,14653253
14659598,14806397
14917802,14979280
14986111,15000386
15003037,15121089
15134853,15136102
15203219,15233768
15241131,15244441
15296255,15301263
15349003,15412725
15433474,15440390
15460154,15471210
15484815,15496018
15506909,15514273
15611743,15675718
15680625,15749618
15803215,15807059
15820272,15829005
15873263,15875844
15909775,15939731
15954279,15972335
15972591,15982368
15984838,16038648
16040556,16053661
16063502,16108130
16127116,16497712
16538071,16666365
16743932,16748631
16756164,16756940
16760914,16805724
16830189,16899236
16917039,16990187
16999123,17104019
17133089,17258081
17297749,17333366
17346038,17352046
17373451,17413767
17438129,17464716
17772675,17851981
17884335,17924418
17957449,17960506
17964449,17968934
17974013,17982360
18031662,18236154
18238114,18241678
18331658,18336674
18340272,18404515
18404847,18498632
18512719,18515553
18630607,18665184
18680272,18692661
18701886,18745592
18749387,18805388
18827251,18852043
18878752,18880616
18902316,18961387
19012600,19017246
19064187,19099118
19099207,19109053
19111977,19116360
19116420,19121625
19122698,19159441
19165903,19189190
19194791,19234148
19249891,19249968
19280632,19284280
19285749,19301284
19315257,19315288
19376862,19432996
19440592,19464106
19474978,19508096
19521061,19532511
19573054,19573089
19574099,19574134
19640143,19735918
19736576,19793804
19817154,19857841
19876898,19930149
19963925,19994103
20066091,20165146
20220333,20285943
20543098,20553344
20563071,20658987
20659120,20751014
20751719,20821029
20864407,20889708
20938290,21105589
21120998,21139044
